"id";"skill";"skill_type"
338.0;"Active listening";"soft"
637.0;"Active listening";"soft"
1186.0;"Active listening";"soft"
1240.0;"Active listening";"soft"
2784.0;"Active listening";"soft"
2804.0;"Active listening";"soft"
2865.0;"Active listening";"soft"
2946.0;"Active listening";"soft"
2947.0;"Active listening";"soft"
3502.0;"Active listening";"soft"
3691.0;"Active listening";"soft"
4355.0;"Active listening";"soft"
4435.0;"Active listening";"soft"
218.0;"Adaptability";"soft"
765.0;"Adaptability";"soft"
768.0;"Adaptability";"soft"
1173.0;"Adaptability";"soft"
1209.0;"Adaptability";"soft"
1898.0;"Adaptability";"soft"
2299.0;"Adaptability";"soft"
2580.0;"Adaptability";"soft"
2581.0;"Adaptability";"soft"
2630.0;"Adaptability";"soft"
2713.0;"Adaptability";"soft"
2837.0;"Adaptability";"soft"
2851.0;"Adaptability";"soft"
3740.0;"Adaptability";"soft"
3792.0;"Adaptability";"soft"
4018.0;"Adaptability";"soft"
4192.0;"Adaptability";"soft"
4414.0;"Adaptability";"soft"
4433.0;"Adaptability";"soft"
4492.0;"Adaptability";"soft"
4536.0;"Adaptability";"soft"
4542.0;"Adaptability";"soft"
4559.0;"Adaptability";"soft"
4570.0;"Adaptability";"soft"
4575.0;"Adaptability";"soft"
4614.0;"Adaptability";"soft"
4663.0;"Adaptability";"soft"
4733.0;"Adaptability";"soft"
4901.0;"Adaptability";"soft"
4943.0;"Adaptability";"soft"
4967.0;"Adaptability";"soft"
5073.0;"Adaptability";"soft"
5111.0;"Adaptability";"soft"
5.0;"Analyzing";"soft"
7.0;"Analyzing";"soft"
8.0;"Analyzing";"soft"
16.0;"Analyzing";"soft"
40.0;"Analyzing";"soft"
57.0;"Analyzing";"soft"
67.0;"Analyzing";"soft"
69.0;"Analyzing";"soft"
71.0;"Analyzing";"soft"
83.0;"Analyzing";"soft"
92.0;"Analyzing";"soft"
101.0;"Analyzing";"soft"
106.0;"Analyzing";"soft"
112.0;"Analyzing";"soft"
121.0;"Analyzing";"soft"
125.0;"Analyzing";"soft"
127.0;"Analyzing";"soft"
133.0;"Analyzing";"soft"
156.0;"Analyzing";"soft"
164.0;"Analyzing";"soft"
174.0;"Analyzing";"soft"
181.0;"Analyzing";"soft"
188.0;"Analyzing";"soft"
195.0;"Analyzing";"soft"
206.0;"Analyzing";"soft"
214.0;"Analyzing";"soft"
215.0;"Analyzing";"soft"
283.0;"Analyzing";"soft"
285.0;"Analyzing";"soft"
289.0;"Analyzing";"soft"
291.0;"Analyzing";"soft"
296.0;"Analyzing";"soft"
300.0;"Analyzing";"soft"
311.0;"Analyzing";"soft"
319.0;"Analyzing";"soft"
322.0;"Analyzing";"soft"
324.0;"Analyzing";"soft"
329.0;"Analyzing";"soft"
330.0;"Analyzing";"soft"
332.0;"Analyzing";"soft"
338.0;"Analyzing";"soft"
339.0;"Analyzing";"soft"
342.0;"Analyzing";"soft"
356.0;"Analyzing";"soft"
357.0;"Analyzing";"soft"
361.0;"Analyzing";"soft"
367.0;"Analyzing";"soft"
